,C,CH,CH2,CH3,C-ring,CH-ring,CH2-ring,C=C,C#C,Ar,OH,C-O-C,CHO,CO,COOR,M,COOH,measured_st,molecule,density
230,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,172.26799999999997,0.0,25.7,Pentyl pentanoate,0.865
231,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,186.29499999999996,0.0,28.0,Methyl decanoate,0.873
232,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,214.34899999999993,0.0,29.1,Methyl dodecanoate,0.8702
233,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,242.4029999999999,0.0,29.4,Methyl myristate,0.8671
234,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,256.4299999999999,0.0,28.3,Octyl octanoate,0.8590000000000001
235,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270.4569999999999,0.0,29.6,Methyl palmitate,0.852
236,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,298.51099999999997,0.0,30.3,Methyl stearate,0.8643
237,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,116.11599999999999,0.0,32.6,Methyl acetoacetate,1.0762
238,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,130.14299999999997,0.0,31.9,Ethyl acetoacetate,1.0282
239,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,144.12599999999998,0.0,37.7,Dimethyl maleate,1.157
240,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,172.17999999999995,0.0,32.1,Diethyl maleate,1.069
241,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,228.28799999999993,0.0,30.3,Dibutyl maleate,0.9964
242,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,314.466,0.0,31.6,Decanedioic acid dibutyl ester,0.9366
243,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,218.20499999999996,0.0,35.9,"Propane-1,2,3-triyl triacetate",1.1604
244,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,302.3670000000001,0.0,30.5,"1,2,3-tris-Butyryloxy-propane",1.035
245,0.0,1.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,470.69100000000043,0.0,29.3,Tricaprylin,0.956
246,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,136.14999999999998,0.0,37.3,Methyl benzoate,1.088
247,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,152.14899999999997,0.0,39.2,Methyl salicylate,1.1851
248,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,150.177,0.0,34.6,Ethyl benzoate,1.047
249,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,222.23999999999995,0.0,36.7,Diethyl phthalate,1.1175
274,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,312.538,0.0,28.3,Dodecyl caprylate,0.862
275,0.0,1.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,284.4839999999999,0.0,27.4,2-Propylheptyl caprylate,0.863
276,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,230.30399999999997,0.0,28.7,Diisopropyl adipate,0.966
278,1.0,2.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,356.54700000000014,0.0,28.0,Neopentyl glycol di(2-ethylhexanoate),0.9309999999999999
279,0.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270.45699999999994,0.0,28.3,Isoamyl laurate,0.86
280,0.0,2.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,342.52000000000004,0.0,29.4,Diisoamyl sebacate,0.934
285,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,328.49300000000005,0.0,27.8,Propanediol dicaprylate,0.9259999999999999
286,1.0,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,242.40299999999993,0.0,25.4,Isodecyl neopentanoate,0.866
287,0.0,1.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,312.53800000000007,0.0,28.7,2-Ethylhexyl cocoate,0.86
288,1.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,328.4930000000001,0.0,28.8,Neopentyl glycol diheptanoate,0.94
289,0.0,2.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,284.484,0.0,26.2,Isononyl isononanoate,0.86
290,0.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,270.4569999999999,0.0,28.3,Isopropyl myristate,0.8532
291,0.0,2.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,370.5740000000002,0.0,29.5,Diethylhexyl adipate,0.9257
292,0.0,2.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,326.565,0.0,27.6,Isopropyl isostearate,0.852
293,0.0,4.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,470.69100000000043,0.0,28.9,Triethylhexanoin,0.95
