,C,CH,CH2,CH3,C-ring,CH-ring,CH2-ring,C=C,C#C,Ar,OH,C-O-C,CHO,CO,COOR,M,COOH,measured_st,molecule,density
49,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,106.16799999999999,0.0,29.6,o-Xylene,0.8801
50,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,106.16799999999999,0.0,28.4,m-Xylene,0.8640000000000001
51,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,106.16799999999998,0.0,27.8,p-Xylene,0.861
52,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,106.16799999999999,0.0,28.6,Ethylbenzene,0.867
53,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.195,0.0,28.3,"1,2,3-Trimethylbenzene",0.8944
54,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.19499999999996,0.0,29.2,"1,2,4-Trimethylbenzene",0.8761
55,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.19499999999998,0.0,28.1,Mesitylene,0.8637
56,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.19499999999995,0.0,28.4,Propylbenzene,0.862
57,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.22199999999998,0.0,29.8,o-Diethylbenzene,0.88
58,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.22199999999998,0.0,28.7,m-Diethylbenzene,0.8602
59,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.22199999999998,0.0,28.5,p-Diethylbenzene,0.862
60,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.22199999999998,0.0,28.7,Butylbenzene,0.8607
61,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.22199999999998,0.0,27.0,Isobutylbenzene,0.8535
62,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.22199999999995,0.0,28.0,sec-Butylbenzene,0.8622
63,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,134.22199999999998,0.0,27.6,tert-Butylbenzene,0.8662
64,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.195,0.0,29.7,o-Ethyltoluene,0.8808
65,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.195,0.0,28.5,m-Ethyltoluene,0.8644
66,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.195,0.0,28.3,p-Ethyltoluene,0.8609
67,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,218.38400000000001,0.0,30.5,1-Phenyldecane,0.8555299999999999
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,104.15199999999999,0.0,31.0,Styrene,0.9059999999999999
69,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,132.206,0.0,33.2,"1,2,3,4-Tetrahydronaphthalene",0.9702
70,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.042,0.0,22.1,Methanol,0.7915
71,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.069,0.0,22.2,Ethanol,0.789
72,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.096000000000004,0.0,23.3,1-Propanol,0.8053
73,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,60.096000000000004,0.0,20.8,2-Propanol,0.78505
74,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.123,0.0,24.2,1-Butanol,0.8096
75,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.123,0.0,22.1,2-Butanol,0.8063
76,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.12299999999999,0.0,22.4,Isobutyl alcohol,0.8029999999999999
77,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.123,0.0,20.0,tert-Butyl alcohol,0.7859999999999999
78,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,88.15,0.0,25.0,1-Pentanol,0.8146
79,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,88.14999999999999,0.0,23.7,3-Methyl-1-butanol,0.81003
80,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102.17699999999999,0.0,25.9,1-Hexanol,0.8191
81,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102.17699999999998,0.0,22.6,4-Methyl-2-pentanol,0.8075
82,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,102.17699999999998,0.0,24.5,2-Ethyl-1-butanol,0.8326
83,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,116.204,0.0,26.7,Heptanol,0.8219
84,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,130.23100000000002,0.0,27.1,1-Octanol,0.8270000000000001
85,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,130.231,0.0,27.1,2-Ethyl-1-hexanol,0.8344
86,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,144.258,0.0,27.9,Nonanol,0.8279
87,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,158.285,0.0,28.4,Decanol,0.8297
88,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,172.31199999999998,0.0,28.6,Undecanol,0.8298
89,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,186.33899999999997,0.0,29.4,Dodecanol,0.8309
90,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.08,0.0,25.3,Allyl alcohol,0.8540000000000001
91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,56.064,0.0,35.4,Propargyl alcohol,0.9715
92,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,76.095,0.0,30.8,2-Methoxyethanol,0.9661
93,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.16099999999999,0.0,32.9,Cyclohexanol,0.9624
94,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,114.188,0.0,32.7,Cycloheptanol,0.9554
95,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,108.13999999999997,0.0,37.0,Benzyl alcohol,1.0419
96,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,136.19399999999996,0.0,33.5,1-Phenyl-1-propanol,0.9940000000000001
97,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,108.13999999999997,0.0,35.7,m-Cresol,1.034
98,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,62.068000000000005,0.0,47.8,"1,2-Ethanediol",1.1135
99,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,76.09499999999998,0.0,36.0,"1,2-Propanediol",1.037
100,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,76.095,0.0,45.2,Trimethylene glycol,1.0529
101,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,90.122,0.0,37.7,"1,3-Butanediol",1.0059
